"Pais","Porcentaje de Parlamentarias 2010-2019"
"AFG",27.7371782210811
"AGO",34.6969696969697
"ALB",21.3466042154567
"AND",41.0714285714286
"ARB",15.6410653020838
"ARE",25.4166666666667
"ARG",37.8861688981484
"ARM",13.4185640483351
"ATG",10.8187134502924
"AUS",26.9661515820457
"AUT",31.3296903460838
"AZE",16.4011204481793
"BDI",33.6864602902339
"BEL",39.1111111111111
"BEN",8.23293172690763
"BFA",13.3728216405382
"BGD",19.8158971408006
"BGR",22.4305555555556
"BHR",8.75
"BHS",12.7245098361915
"BIH",20.6349206349206
"BLR",33.2221295524048
"BLZ",4.16666666666667
"BOL",39.2307692307693
"BRA",10.233918128655
"BRB",13.8888888888889
"BTN",9.57446808510638
"BWA",8.93772893772894
"CAF",9.82541439375972
"CAN",25.467864932369
"CEB",20.1029769205135
"CHE",32.0833333333333
"CHN",22.7972406881552
"CIV",10.1773930423225
"CMR",22.5
"COG",8.63682979838623
"COL",15.6934489686551
"COM",4.04040404040404
"CPV",21.7592592592592
"CRI",38.3040935672515
"CSS",18.5876814170363
"CUB",47.4231423206448
"CYP",14.5833333333333
"CZE",21.75
"DEU",32.7816776163615
"DJI",15.1981351981352
"DMA",18.2291666666667
"DNK",38.3612662942272
"DOM",23.8035662927811
"DZA",21.7333081086295
"EAP",19.1591935546159
"EAR",20.3120759738244
"EAS",18.8442356868411
"ECA",18.6129187469519
"ECS",25.2158401052479
"ECU",35.7154069539282
"EGY",10.2384963486894
"EMU",28.9500378431472
"ERI",22
"ESP",38.4761904761905
"EST",23.9273927392739
"ETH",33.2723948811701
"EUU",27.5702080887187
"FCS",15.9608374869663
"FIN",42.5833333333333
"FRA",28.2495667244367
"FSM",0
"GAB",15.6304073810914
"GBR",26.725534352653
"GEO",11.9760304778782
"GMB",8.7941878117545
"GNB",12.5294117647059
"GRC",19.2777777777778
"GRD",25.5555555555555
"GTM",14.0941455696203
"GUY",31.1482442858173
"HIC",25.0294780815966
"HPC",22.1044224801815
"HRV",20.4778600181794
"HTI",4.10281825090032
"HUN",9.89966887524625
"IBD",20.4112261811926
"IBT",20.1231614547694
"IDA",19.7042761961422
"IDB",16.4789616510982
"IDN",18.1918797679667
"IDX",20.402265764042
"IND",11.8356387933082
"IRL",18.419262011606
"IRN",4.37795807978364
"IRQ",25.4582565851377
"ISL",41.005291005291
"ISR",22.7777777777778
"ITA",26.984126984127
"JAM",15.1851851851852
"JOR",13.1089743589744
"JPN",9.94812299566118
"KAZ",23.5202492211838
"KEN",15.4552633374267
"KGZ",21.25
"KHM",20.4065040650406
"KIR",6.88405797101449
"KNA",9.99999999999999
"KOR",15.960795243404
"KWT",5.20512820512821
"LAC",27.9664625135698
"LAO",26.2946211458029
"LBN",3.38541666666667
"LBR",11.0324618946556
"LCA",15.7407407407408
"LCN",26.7896716960263
"LDC",21.7368047635391
"LIC",20.1847185216259
"LIE",19.3333333333333
"LKA",5.62962962962963
"LMC",19.0097112753081
"LMY",20.6460630518079
"LSO",24.2440801457195
"LTE",19.2928662885366
"LTU",21.0980152048574
"LUX",24.7222222222222
"LVA",21.6666666666667
"MAR",17.6507627393704
"MCO",23.1970324361628
"MDA",21.4521452145215
"MDG",16.3525796451103
"MDV",5.97382108538295
"MEA",13.8961311350104
"MEX",37.0666666666667
"MHL",5.55555555555555
"MIC",20.7756689757199
"MKD",34.3191056910569
"MLI",9.6371882086168
"MLT",10.9682951701122
"MMR",7.54667348420131
"MNA",14.346087410112
"MNE",19.3415637860082
"MNG",12.3839102260155
"MOZ",39.6666666666667
"MRT",22.8195605727671
"MUS",16.6183574879227
"MWI",20.2738198042602
"MYS",10.9765874471757
"NAC",21.7105434413109
"NAM",33.079594017094
"NGA",5.82658025159402
"NIC",39.4927536231884
"NLD",37.4444444444444
"NOR",40.138067061144
"NPL",31.8969810146281
"NRU",4.38596491228071
"NZL",34.7734987731262
"OED",26.5667482121955
"OMN",1.1765791587953
"OSS",17.8149118643746
"PAK",21.4437561136852
"PAN",13.849765258216
"PER",25.9935897435897
"PHL",25.8541011147394
"PLW",6.25
"PNG",1.20671129845442
"POL",25.2536231884058
"PRE",20.5545639895698
"PRK",16.1572052401747
"PRT",32.1739130434783
"PRY",13.5416666666667
"PST",27.703195497169
"QAT",3.2520325203252
"ROU",15.3679639161273
"RUS",14.2222222222222
"RWA",59.1666666666667
"SAS",19.7456485166348
"SAU",9.9337748344371
"SEN",35.7171717171717
"SGP",23.2718796702365
"SLB",1.68027210884354
"SLE",12.6075360117059
"SLV",26.5873015873016
"SMR",21.1111111111111
"SRB",30.4753036437247
"SSA",22.1076162218331
"SSF",22.092208637995
"SST",16.2161390214123
"STP",17.5757575757576
"SUR",19.281045751634
"SVK",18.3333333333333
"SVN",30
"SWE",44.7946513849092
"SWZ",10.0771933380629
"SYC",29.1109625668449
"SYR",12.7333333333333
"TCD",12.5602319399505
"TEA",19.4153243015669
"TEC",19.0951325780176
"TGO",14.1636141636142
"THA",12.0017682431683
"TJK",19.047619047619
"TKM",21.1688172043011
"TLA",23.5065633347277
"TLS",34.8717948717949
"TMN",14.346087410112
"TON",3.70709537376204
"TSA",19.7456485166348
"TSS",22.092208637995
"TTO",29.7619047619048
"TUN",27.7132951462164
"TUR",14.0669681373829
"TUV",5.48611111111111
"UGA",33.9804700374355
"UKR",11.711574191498
"UMC",22.2109500413291
"URY",15.8249158249158
"USA",18.9219234278643
"UZB",19
"VCT",14.6997929606626
"VEN",18.265287606605
"VNM",25.7870987345099
"VUT",0.961538461538462
"WLD",21.8430527707321
"WSM",7.72108843537415
"YEM",0.221483942414175
"ZAF",43.1973902911291
"ZMB",15.139148454683
"ZWE",23.4614839988672
