"","LOCATION","TIME","Value"
"1","AUS",2019,3.2
"2","CAN",2019,7.8
"3","FIN",2019,11.2
"4","FRA",2019,6.6
"5","DEU",2019,19.6
"6","HUN",2019,8.7
"7","ITA",2019,5.3
"8","JPN",2019,8.9
"9","KOR",2019,18.4
"10","MEX",2019,5
"11","NLD",2019,6.4
"12","NZL",2019,7.7
"13","NOR",2019,9.9
"14","POL",2019,7.9
"15","ESP",2019,9.6
"16","SWE",2019,10.2
"17","CHE",2019,15.2
"18","TUR",2019,13.3
"19","GBR",2019,10.2
"20","USA",2019,11
"21","ALB",2019,29.8
"22","DZA",2019,48.2
"23","ARG",2019,11.6
"24","ARM",2019,10.1
"25","AZE",2019,28
"26","BGD",2019,28.3
"27","BLR",2019,4.1
"28","BIH",2019,4.8
"29","BRA",2019,8.5
"30","BGR",2019,18.2
"31","KHM",2019,50.4
"32","CHL",2019,10.3
"33","CHN",2019,32.7
"34","COL",2019,11.1
"35","EGY",2019,35.7
"36","EST",2019,16.9
"37","ETH",2019,63
"38","GEO",2019,8.6
"39","GHA",2019,28.3
"40","HTI",2019,58.9
"41","IND",2019,22.1
"42","IDN",2019,34.5
"43","IRN",2019,21
"44","KAZ",2019,14.2
"45","MKD",2019,14.5
"46","MYS",2019,41.5
"47","MDA",2019,11.2
"48","MOZ",2019,22.9
"49","NGA",2019,34.7
"50","PAK",2019,42.2
"51","PER",2019,32.2
"52","PHL",2019,12.9
"53","ROU",2019,7.5
"54","RUS",2019,23.3
"55","SGP",2019,40.5
"56","SVN",2019,15.8
"57","ZAF",2019,61.2
"58","SDN",2019,34
"59","TZA",2019,58
"60","THA",2019,8.6
"61","UKR",2019,2.9
"62","URY",2019,1.5
"63","VNM",2019,28.2
"64","ZMB",2019,46.9
"65","SRB",2019,3.8
"66","AFG",2019,80.2
"67","BEN",2019,36
"68","BTN",2019,68.4
"69","BOL",2019,16.1
"70","BFA",2019,43.5
"71","BDI",2019,72.9
"72","CMR",2019,36.1
"73","CAF",2019,79.6
"74","TCD",2019,73.5
"75","COG",2019,54.2
"76","COD",2019,74.8
"77","DOM",2019,2
"78","ECU",2019,25.2
"79","GNQ",2019,52.6
"80","ERI",2019,51.4
"81","GAB",2019,50.2
"82","GMB",2019,58.4
"83","GTM",2019,11
"84","GIN",2019,92.1
"85","GNB",2019,41.8
"86","HND",2019,12.4
"87","IRQ",2019,54.8
"88","JAM",2019,4.9
"89","JOR",2019,18
"90","KEN",2019,41.8
"91","KWT",2019,37
"92","KGZ",2019,32.8
"93","LAO",2019,58.2
"94","LBN",2019,43.6
"95","LSO",2019,37.1
"96","LBR",2019,42.5
"97","LBY",2019,25.1
"98","MDG",2019,45.2
"99","MWI",2019,16.3
"100","MLI",2019,72.6
"101","MNG",2019,10.1
"102","MAR",2019,22
"103","NAM",2019,28.2
"104","NPL",2019,42.9
"105","NIC",2019,13.7
"106","NER",2019,59.6
"107","PSE",2019,38.7
"108","QAT",2019,6.6
"109","RWA",2019,41.4
"110","SEN",2019,56.5
"111","SLE",2019,62.8
"112","SOM",2019,75.7
"113","LKA",2019,53.2
"114","SWZ",2019,19.9
"115","TJK",2019,59.6
"116","TLS",2019,86.2
"117","TGO",2019,28.7
"118","TTO",2019,9.9
"119","TUN",2019,18.6
"120","TKM",2019,26.3
"121","UGA",2019,58.3
"122","UZB",2019,41.5
"123","YEM",2019,48.7
"124","ZWE",2019,38.7
"125","AUT",2019,3
"126","BEL",2019,2
"127","CZE",2019,2
"128","DNK",2019,0
"129","GRC",2019,2
"130","IRL",2019,1
"131","LUX",2019,2
"132","PRT",2019,2
"133","SVK",2019,5
"134","AGO",2019,25.2
"135","CRI",2019,3.5
"136","CIV",2019,47.9
"137","HRV",2019,4.4
"138","CUB",2019,3.9
"139","CYP",2019,10.5
"140","SLV",2019,7.7
"141","FJI",2019,42.6
"142","HKG",2019,26
"143","LVA",2019,2
"144","LTU",2019,2
"145","MLT",2019,0
"146","MRT",2019,26.6
"147","MMR",2019,51.2
"148","OMN",2019,7.9
"149","PAN",2019,5.7
"150","PRY",2019,22.9
"151","TWN",2019,21.6
"152","MNE",2019,2.7
