"","País","Data 2014","Data 2019"
"1","AFG",90,80.2
"2","ALB",30,29.8
"3","ARG",4,11.6
"4","ARM",9,10.1
"5","AUS",4,3.2
"6","AZE",22,28
"7","BDI",73,72.9
"8","BEN",16,36
"9","BFA",44,43.5
"10","BGD",33,28.3
"11","BGR",21,18.2
"12","BIH",5,4.8
"13","BLR",4,4.1
"14","BOL",16,16.1
"15","BRA",15,8.5
"16","BTN",68,68.4
"17","CAF",80,79.6
"18","CAN",6,7.8
"19","CHE",16,15.2
"20","CHL",12,10.3
"21","CHN",49,32.7
"22","CMR",47,36.1
"23","COD",76,74.8
"24","COG",76,54.2
"25","COL",11,11.1
"26","DEU",20,19.6
"27","DOM",4,2
"28","DZA",52,48.2
"29","ECU",25,25.2
"30","EGY",39,35.7
"31","ERI",71,51.4
"32","ESP",10,9.6
"33","EST",18,16.9
"34","ETH",68,63
"35","FIN",11,11.2
"36","FRA",7,6.6
"37","GAB",50,50.2
"38","GBR",12,10.2
"39","GEO",9,8.6
"40","GHA",44,28.3
"41","GIN",92,92.1
"42","GMB",75,58.4
"43","GNB",40,41.8
"44","GNQ",53,52.6
"45","GTM",7,11
"46","HND",16,12.4
"47","HTI",29,58.9
"48","HUN",9,8.7
"49","IDN",31,34.5
"50","IND",45,22.1
"51","IRN",21,21
"52","IRQ",55,54.8
"53","ITA",7,5.3
"54","JAM",3,4.9
"55","JOR",70,18
"56","JPN",14,8.9
"57","KAZ",12,14.2
"58","KEN",53,41.8
"59","KGZ",36,32.8
"60","KHM",46,50.4
"61","KOR",19,18.4
"62","KWT",39,37
"63","LAO",81,58.2
"64","LBN",10,43.6
"65","LBR",59,42.5
"66","LBY",28,25.1
"67","LKA",53,53.2
"68","LSO",37,37.1
"69","MAR",32,22
"70","MDA",22,11.2
"71","MDG",32,45.2
"72","MEX",16,5
"73","MKD",15,14.5
"74","MLI",87,72.6
"75","MNG",10,10.1
"76","MOZ",36,22.9
"77","MWI",13,16.3
"78","MYS",42,41.5
"79","NAM",35,28.2
"80","NER",60,59.6
"81","NGA",43,34.7
"82","NIC",14,13.7
"83","NLD",9,6.4
"84","NOR",11,9.9
"85","NPL",23,42.9
"86","NZL",9,7.7
"87","PAK",43,42.2
"88","PER",34,32.2
"89","PHL",14,12.9
"90","POL",10,7.9
"91","PSE",39,38.7
"92","QAT",20,6.6
"93","ROU",11,7.5
"94","RUS",25,23.3
"95","RWA",56,41.4
"96","SDN",47,34
"97","SEN",60,56.5
"98","SGP",41,40.5
"99","SLE",73,62.8
"100","SOM",76,75.7
"101","SRB",11,3.8
"102","SVN",17,15.8
"103","SWE",12,10.2
"104","SWZ",28,19.9
"105","TCD",62,73.5
"106","TGO",43,28.7
"107","THA",61,8.6
"108","TJK",60,59.6
"109","TKM",38,26.3
"110","TLS",86,86.2
"111","TTO",10,9.9
"112","TUN",30,18.6
"113","TUR",25,13.3
"114","TZA",54,58
"115","UGA",58,58.3
"116","UKR",22,2.9
"117","URY",9,1.5
"118","USA",13,11
"119","UZB",42,41.5
"120","VNM",36,28.2
"121","YEM",38,48.7
"122","ZAF",34,61.2
"123","ZMB",62,46.9
"124","ZWE",40,38.7
